plot,sample_date,plant_part,mass_g,Exclude,row_length_m,Block,NxWater,Water_Treatment,Nitrogen_Treatment,block_water_nitrogen,notes
1,7/21/2021,stems,347,No,0.8128,1,1_4,1,4,114,stalks
1,9/23/2021,grain_mc_0,806.976,No,0.8128,1,1_4,1,4,114,NA
1,7/21/2021,leaves,336,No,0.8128,1,1_4,1,4,114,leaves
1,9/23/2021,Leaves,162,No,0.8128,1,1_4,1,4,114,
1,9/23/2021,grain_mc_15_5,955.0011834,No,0.8128,1,1_4,1,4,114,NA
1,6/30/2021,shoots,113.01,No,0.8128,1,1_4,1,4,114,NA
1,9/23/2021,stems,319.7226148,No,0.8128,1,1_4,1,4,114,
1,8/4/2021,leaves,283,No,0.8128,1,1_4,1,4,114,NA
1,9/23/2021,cobs,198,No,0.8128,1,1_4,1,4,114,NA
1,6/9/2021,shoots,4.542,No,0.8128,1,1_4,1,4,114,
1,8/4/2021,stems,965.3283158,No,0.8128,1,1_4,1,4,114,
2,9/23/2021,grain_mc_15_5,687.8591716,No,0.9144,1,1_1,1,1,111,NA
2,7/21/2021,leaves,275,No,0.9144,1,1_1,1,1,111,leaves
2,9/23/2021,cobs,154,No,0.9144,1,1_1,1,1,111,NA
2,9/23/2021,grain_mc_0,581.241,No,0.9144,1,1_1,1,1,111,NA
2,7/21/2021,stems,318,No,0.9144,1,1_1,1,1,111,stalks
2,6/30/2021,shoots,102.29,No,0.9144,1,1_1,1,1,111,NA
2,8/4/2021,leaves,219,No,0.9144,1,1_1,1,1,111,NA
2,9/23/2021,Leaves,135,No,0.9144,1,1_1,1,1,111,
2,6/9/2021,shoots,3.558,No,0.9144,1,1_1,1,1,111,
2,9/23/2021,stems,246.9270713,No,0.9144,1,1_1,1,1,111,
2,8/4/2021,stems,593.595753,No,0.9144,1,1_1,1,1,111,A digit appears to have been left out of subsample dry weight (e.g. 10 vs 100). Ground remants around 52g. Assuming one digit over
3,9/23/2021,Leaves,158,No,0.8128,1,1_5,1,5,115,
3,7/21/2021,stems,268,No,0.8128,1,1_5,1,5,115,stalks
3,9/23/2021,cobs,211,No,0.8128,1,1_5,1,5,115,NA
3,8/4/2021,leaves,245,No,0.8128,1,1_5,1,5,115,NA
3,9/23/2021,grain_mc_0,846.204,No,0.8128,1,1_5,1,5,115,NA
3,6/9/2021,shoots,3.446,No,0.8128,1,1_5,1,5,115,
3,6/30/2021,shoots,89.05,No,0.8128,1,1_5,1,5,115,NA
3,9/23/2021,stems,336.5720471,No,0.8128,1,1_5,1,5,115,
3,8/4/2021,stems,806.0755365,No,0.8128,1,1_5,1,5,115,
3,9/23/2021,grain_mc_15_5,1001.424852,No,0.8128,1,1_5,1,5,115,NA
3,7/21/2021,leaves,318,No,0.8128,1,1_5,1,5,115,leaves
4,8/4/2021,leaves,207,No,0.9144,1,1_3,1,3,113,NA
4,7/21/2021,stems,291,No,0.9144,1,1_3,1,3,113,stalks
4,9/23/2021,grain_mc_0,855.456,No,0.9144,1,1_3,1,3,113,NA
4,6/9/2021,shoots,2,No,0.9144,1,1_3,1,3,113,
4,6/30/2021,shoots,61.81,No,0.9144,1,1_3,1,3,113,NA
4,9/23/2021,cobs,223,No,0.9144,1,1_3,1,3,113,NA
4,9/23/2021,stems,334.6587063,No,0.9144,1,1_3,1,3,113,
4,8/4/2021,stems,598.1602465,No,0.9144,1,1_3,1,3,113,
4,7/21/2021,leaves,294,No,0.9144,1,1_3,1,3,113,leaves
4,9/23/2021,grain_mc_15_5,1012.373964,No,0.9144,1,1_3,1,3,113,NA
4,9/23/2021,Leaves,206,No,0.9144,1,1_3,1,3,113,
5,7/21/2021,stems,313,No,0.8128,1,1_2,1,2,112,stalks
5,8/4/2021,stems,769.2582894,No,0.8128,1,1_2,1,2,112,
5,6/30/2021,shoots,76.37,No,0.8128,1,1_2,1,2,112,NA
5,9/23/2021,Leaves,199,No,0.8128,1,1_2,1,2,112,
5,9/23/2021,stems,400.7780119,No,0.8128,1,1_2,1,2,112,
5,9/23/2021,grain_mc_15_5,728.8615385,No,0.8128,1,1_2,1,2,112,NA
5,9/23/2021,grain_mc_0,615.888,No,0.8128,1,1_2,1,2,112,NA
5,9/23/2021,cobs,159,No,0.8128,1,1_2,1,2,112,NA
5,8/4/2021,leaves,255,No,0.8128,1,1_2,1,2,112,NA
5,7/21/2021,leaves,314,No,0.8128,1,1_2,1,2,112,leaves
5,6/9/2021,shoots,2.367,No,0.8128,1,1_2,1,2,112,
6,6/9/2021,shoots,2.477,No,0.8128,1,1_6,1,6,116,
6,9/23/2021,cobs,166,No,0.8128,1,1_6,1,6,116,NA
6,9/23/2021,grain_mc_15_5,759.5798817,No,0.8128,1,1_6,1,6,116,NA
6,8/4/2021,stems,741.3628735,No,0.8128,1,1_6,1,6,116,
6,9/23/2021,Leaves,159,No,0.8128,1,1_6,1,6,116,
6,9/23/2021,grain_mc_0,641.845,No,0.8128,1,1_6,1,6,116,NA
6,9/23/2021,stems,275.1883999,No,0.8128,1,1_6,1,6,116,
6,8/4/2021,leaves,265,No,0.8128,1,1_6,1,6,116,NA
6,6/30/2021,shoots,67,No,0.8128,1,1_6,1,6,116,NA
7,9/23/2021,grain_mc_15_5,421.1609467,No,0.889,1,2_3,2,3,123,NA
7,9/23/2021,stems,131.9176673,No,0.889,1,2_3,2,3,123,
7,7/21/2021,stems,209,No,0.889,1,2_3,2,3,123,stalks
7,9/23/2021,grain_mc_0,355.881,No,0.889,1,2_3,2,3,123,NA
7,6/9/2021,shoots,3.087,No,0.889,1,2_3,2,3,123,
7,8/4/2021,leaves,211,No,0.889,1,2_3,2,3,123,NA
7,8/4/2021,stems,566.316253,No,0.889,1,2_3,2,3,123,
7,7/21/2021,leaves,237,No,0.889,1,2_3,2,3,123,leaves
7,9/23/2021,Leaves,109,No,0.889,1,2_3,2,3,123,
7,6/30/2021,shoots,63.4,No,0.889,1,2_3,2,3,123,NA
7,9/23/2021,cobs,93,No,0.889,1,2_3,2,3,123,NA
8,6/30/2021,shoots,61,No,0.9144,1,2_1,2,1,121,NA
8,9/23/2021,cobs,73,No,0.9144,1,2_1,2,1,121,NA
8,8/4/2021,leaves,230,No,0.9144,1,2_1,2,1,121,NA
8,9/23/2021,Leaves,112,No,0.9144,1,2_1,2,1,121,
8,9/23/2021,grain_mc_0,207.536,No,0.9144,1,2_1,2,1,121,NA
8,9/23/2021,stems,244.3350073,No,0.9144,1,2_1,2,1,121,
8,6/9/2021,shoots,4.177,No,0.9144,1,2_1,2,1,121,
8,9/23/2021,grain_mc_15_5,245.6047337,No,0.9144,1,2_1,2,1,121,NA
8,8/4/2021,stems,490.5736978,No,0.9144,1,2_1,2,1,121,
9,6/9/2021,shoots,2.323,No,1.0414,1,2_6,2,6,126,
9,9/23/2021,stems,209.2466352,No,1.0414,1,2_6,2,6,126,
9,8/4/2021,stems,505.2456232,No,1.0414,1,2_6,2,6,126,
9,7/21/2021,leaves,300,No,1.0414,1,2_6,2,6,126,leaves
9,7/21/2021,stems,189,No,1.0414,1,2_6,2,6,126,stalks
9,6/30/2021,shoots,52.46,No,1.0414,1,2_6,2,6,126,NA
9,9/23/2021,Leaves,121,No,1.0414,1,2_6,2,6,126,
9,9/23/2021,grain_mc_15_5,666.8307692,No,1.0414,1,2_6,2,6,126,NA
9,9/23/2021,cobs,162,No,1.0414,1,2_6,2,6,126,NA
9,9/23/2021,grain_mc_0,563.472,No,1.0414,1,2_6,2,6,126,NA
9,8/4/2021,leaves,217,No,1.0414,1,2_6,2,6,126,NA
10,6/30/2021,shoots,82.94,No,0.8636,1,2_5,2,5,125,NA
10,8/4/2021,stems,514.6802375,No,0.8636,1,2_5,2,5,125,
10,9/23/2021,stems,171.5510033,No,0.8636,1,2_5,2,5,125,
10,7/21/2021,leaves,252,No,0.8636,1,2_5,2,5,125,leaves
10,9/23/2021,grain_mc_15_5,377.5136095,No,0.8636,1,2_5,2,5,125,NA
10,6/9/2021,shoots,3.37,No,0.8636,1,2_5,2,5,125,
10,9/23/2021,grain_mc_0,318.999,No,0.8636,1,2_5,2,5,125,NA
10,7/21/2021,stems,233,No,0.8636,1,2_5,2,5,125,stalks
10,9/23/2021,Leaves,123,No,0.8636,1,2_5,2,5,125,
10,9/23/2021,cobs,97,No,0.8636,1,2_5,2,5,125,NA
10,8/4/2021,leaves,248,No,0.8636,1,2_5,2,5,125,NA
11,8/4/2021,stems,546.7703399,No,0.8382,1,2_4,2,4,124,
11,9/23/2021,grain_mc_0,522.665,No,0.8382,1,2_4,2,4,124,NA
11,9/23/2021,stems,219.1717553,No,0.8382,1,2_4,2,4,124,
11,7/21/2021,leaves,267,No,0.8382,1,2_4,2,4,124,leaves
11,9/23/2021,grain_mc_15_5,618.5384615,No,0.8382,1,2_4,2,4,124,NA
11,6/9/2021,shoots,2.269,No,0.8382,1,2_4,2,4,124,
11,6/30/2021,shoots,61.86,No,0.8382,1,2_4,2,4,124,NA
11,8/4/2021,leaves,213,No,0.8382,1,2_4,2,4,124,NA
11,9/23/2021,Leaves,146,No,0.8382,1,2_4,2,4,124,
11,7/21/2021,stems,153,No,0.8382,1,2_4,2,4,124,stalks
11,9/23/2021,cobs,139,No,0.8382,1,2_4,2,4,124,NA
12,8/4/2021,leaves,242,No,0.889,1,2_2,2,2,122,NA
12,9/23/2021,grain_mc_15_5,379.3372781,No,0.889,1,2_2,2,2,122,NA
12,9/23/2021,Leaves,122,No,0.889,1,2_2,2,2,122,
12,6/30/2021,shoots,51.94,No,0.889,1,2_2,2,2,122,NA
12,8/4/2021,stems,455.0682026,No,0.889,1,2_2,2,2,122,
12,6/9/2021,shoots,1.741,No,0.889,1,2_2,2,2,122,
12,9/23/2021,grain_mc_0,320.54,No,0.889,1,2_2,2,2,122,NA
12,9/23/2021,cobs,90,No,0.889,1,2_2,2,2,122,NA
12,9/23/2021,stems,223.9969611,No,0.889,1,2_2,2,2,122,
13,8/4/2021,leaves,273,No,1.0414,2,2_6,2,6,226,NA
13,8/4/2021,stems,609.9221027,No,1.0414,2,2_6,2,6,226,
13,6/9/2021,shoots,2.878,No,1.0414,2,2_6,2,6,226,
13,9/23/2021,stems,205.3670075,No,1.0414,2,2_6,2,6,226,
13,6/30/2021,shoots,74.53,No,1.0414,2,2_6,2,6,226,NA
13,9/23/2021,grain_mc_15_5,604.4023669,No,1.0414,2,2_6,2,6,226,NA
13,9/23/2021,Leaves,130,No,1.0414,2,2_6,2,6,226,
13,9/23/2021,grain_mc_0,510.72,No,1.0414,2,2_6,2,6,226,NA
13,9/23/2021,cobs,135,No,1.0414,2,2_6,2,6,226,NA
14,8/4/2021,leaves,238,No,0.8636,2,2_1,2,1,221,NA
14,8/4/2021,stems,524.4786325,No,0.8636,2,2_1,2,1,221,
14,9/23/2021,grain_mc_15_5,431.4733728,No,0.8636,2,2_1,2,1,221,NA
14,6/30/2021,shoots,85.3,No,0.8636,2,2_1,2,1,221,NA
14,9/23/2021,Leaves,131,No,0.8636,2,2_1,2,1,221,
14,9/23/2021,grain_mc_0,364.595,No,0.8636,2,2_1,2,1,221,NA
14,9/23/2021,cobs,94,No,0.8636,2,2_1,2,1,221,NA
14,6/9/2021,shoots,3.223,No,0.8636,2,2_1,2,1,221,
14,9/23/2021,stems,225.9456802,No,0.8636,2,2_1,2,1,221,
15,7/21/2021,stems,298,No,0.9144,2,2_5,2,5,225,stalks
15,9/23/2021,grain_mc_15_5,611.0390533,No,0.9144,2,2_5,2,5,225,NA
15,6/9/2021,shoots,2.873,No,0.9144,2,2_5,2,5,225,
15,9/23/2021,stems,261.5405601,No,0.9144,2,2_5,2,5,225,
15,9/23/2021,cobs,128,No,0.9144,2,2_5,2,5,225,NA
15,9/23/2021,Leaves,151,No,0.9144,2,2_5,2,5,225,
15,9/23/2021,grain_mc_0,516.328,No,0.9144,2,2_5,2,5,225,NA
15,8/4/2021,leaves,197,No,0.9144,2,2_5,2,5,225,NA
15,6/30/2021,shoots,61.1,No,0.9144,2,2_5,2,5,225,NA
15,7/21/2021,leaves,298,No,0.9144,2,2_5,2,5,225,leaves
15,8/4/2021,stems,489.1228814,No,0.9144,2,2_5,2,5,225,
16,8/4/2021,leaves,254,No,0.889,2,2_4,2,4,224,NA
16,6/30/2021,shoots,68.11,No,0.889,2,2_4,2,4,224,NA
16,9/23/2021,grain_mc_0,406.172,No,0.889,2,2_4,2,4,224,NA
16,9/23/2021,Leaves,120,No,0.889,2,2_4,2,4,224,
16,8/4/2021,stems,578.3367645,No,0.889,2,2_4,2,4,224,
16,6/9/2021,shoots,2.935,No,0.889,2,2_4,2,4,224,
16,9/23/2021,cobs,104,No,0.889,2,2_4,2,4,224,NA
16,9/23/2021,grain_mc_15_5,480.6769231,No,0.889,2,2_4,2,4,224,NA
16,9/23/2021,stems,160.6107609,No,0.889,2,2_4,2,4,224,
17,8/4/2021,leaves,232,No,0.9144,2,2_3,2,3,223,NA
17,6/9/2021,shoots,4.802,No,0.9144,2,2_3,2,3,223,
17,9/23/2021,grain_mc_15_5,529.4769231,No,0.9144,2,2_3,2,3,223,NA
17,8/4/2021,stems,471.954626,No,0.9144,2,2_3,2,3,223,
17,7/21/2021,stems,219,No,0.9144,2,2_3,2,3,223,stalks
17,7/21/2021,leaves,256,No,0.9144,2,2_3,2,3,223,leaves
17,9/23/2021,stems,214.7812266,No,0.9144,2,2_3,2,3,223,
17,9/23/2021,grain_mc_0,447.408,No,0.9144,2,2_3,2,3,223,NA
17,9/23/2021,Leaves,114,No,0.9144,2,2_3,2,3,223,
17,6/30/2021,shoots,69.2,No,0.9144,2,2_3,2,3,223,NA
17,9/23/2021,cobs,108,No,0.9144,2,2_3,2,3,223,NA
18,9/23/2021,stems,215.7464222,No,1.0922,2,2_2,2,2,222,
18,9/23/2021,grain_mc_15_5,510.660355,No,1.0922,2,2_2,2,2,222,NA
18,8/4/2021,leaves,205,No,1.0922,2,2_2,2,2,222,NA
18,9/23/2021,grain_mc_0,431.508,No,1.0922,2,2_2,2,2,222,NA
18,6/9/2021,shoots,2.817,No,1.0922,2,2_2,2,2,222,
18,9/23/2021,cobs,120,No,1.0922,2,2_2,2,2,222,NA
18,8/4/2021,stems,390.3100216,No,1.0922,2,2_2,2,2,222,
18,6/30/2021,shoots,89.4,No,1.0922,2,2_2,2,2,222,NA
18,9/23/2021,Leaves,127,No,1.0922,2,2_2,2,2,222,
19,8/4/2021,stems,710.4572714,No,0.9652,2,1_4,1,4,214,
19,9/23/2021,grain_mc_15_5,712.7763314,No,0.9652,2,1_4,1,4,214,NA
19,6/30/2021,shoots,49.56,No,0.9652,2,1_4,1,4,214,NA
19,9/23/2021,grain_mc_0,602.296,No,0.9652,2,1_4,1,4,214,NA
19,9/23/2021,cobs,188,No,0.9652,2,1_4,1,4,214,NA
19,9/23/2021,Leaves,148,No,0.9652,2,1_4,1,4,214,
19,8/4/2021,leaves,226,No,0.9652,2,1_4,1,4,214,NA
19,9/23/2021,stems,366.0286787,No,0.9652,2,1_4,1,4,214,
19,6/9/2021,shoots,1.86,No,0.9652,2,1_4,1,4,214,"Original recorded 0.186g weight seems low, and there was sufficient biomass for 2 x 0.12g LECO samples and 0.62 g left in bag. Moved decimal over so 1.86g"
20,6/30/2021,shoots,78,No,0.9906,2,1_5,1,5,215,NA
20,8/4/2021,stems,732.8496644,No,0.9906,2,1_5,1,5,215,
20,8/4/2021,leaves,222,No,0.9906,2,1_5,1,5,215,NA
20,9/23/2021,cobs,214,No,0.9906,2,1_5,1,5,215,NA
20,9/23/2021,stems,516.3732334,No,0.9906,2,1_5,1,5,215,
20,9/23/2021,grain_mc_0,668.568,No,0.9906,2,1_5,1,5,215,NA
20,6/9/2021,shoots,2.007,No,0.9906,2,1_5,1,5,215,
20,9/23/2021,Leaves,184,No,0.9906,2,1_5,1,5,215,
20,9/23/2021,grain_mc_15_5,791.2047337,No,0.9906,2,1_5,1,5,215,NA
21,7/21/2021,leaves,299,No,1.1176,2,1_3,1,3,213,leaves
21,9/23/2021,grain_mc_15_5,934.7668639,No,1.1176,2,1_3,1,3,213,NA
21,7/21/2021,stems,229,No,1.1176,2,1_3,1,3,213,stalks
21,8/4/2021,leaves,255,No,1.1176,2,1_3,1,3,213,NA
21,8/4/2021,stems,648.5191798,No,1.1176,2,1_3,1,3,213,
21,9/23/2021,Leaves,199,No,1.1176,2,1_3,1,3,213,
21,9/23/2021,cobs,224,No,1.1176,2,1_3,1,3,213,NA
21,6/9/2021,shoots,2.329,No,1.1176,2,1_3,1,3,213,
21,6/30/2021,shoots,73.31,No,1.1176,2,1_3,1,3,213,NA
21,9/23/2021,stems,503.9532705,No,1.1176,2,1_3,1,3,213,
21,9/23/2021,grain_mc_0,789.878,No,1.1176,2,1_3,1,3,213,NA
22,9/23/2021,stems,443.584769,No,0.9398,2,1_6,1,6,216,
22,9/23/2021,grain_mc_15_5,1026.788166,No,0.9398,2,1_6,1,6,216,NA
22,6/9/2021,shoots,2.319,No,0.9398,2,1_6,1,6,216,
22,9/23/2021,Leaves,199,No,0.9398,2,1_6,1,6,216,
22,6/30/2021,shoots,85.12,No,0.9398,2,1_6,1,6,216,NA
22,9/23/2021,grain_mc_0,867.636,No,0.9398,2,1_6,1,6,216,NA
22,9/23/2021,cobs,243,No,0.9398,2,1_6,1,6,216,NA
22,8/4/2021,leaves,295,No,0.9398,2,1_6,1,6,216,NA
22,8/4/2021,stems,768.1862653,No,0.9398,2,1_6,1,6,216,
23,9/23/2021,stems,221.5298785,No,0.9906,2,1_1,1,1,211,
23,6/9/2021,shoots,2.648,No,0.9906,2,1_1,1,1,211,
23,9/23/2021,Leaves,122,No,0.9906,2,1_1,1,1,211,
23,9/23/2021,cobs,112,No,0.9906,2,1_1,1,1,211,NA
23,6/30/2021,shoots,75.36,No,0.9906,2,1_1,1,1,211,NA
23,9/23/2021,grain_mc_0,427.632,No,0.9906,2,1_1,1,1,211,NA
23,8/4/2021,leaves,214,No,0.9906,2,1_1,1,1,211,NA
23,9/23/2021,grain_mc_15_5,506.0733728,No,0.9906,2,1_1,1,1,211,NA
23,8/4/2021,stems,583.1388049,No,0.9906,2,1_1,1,1,211,
